cavity_id,group_id,local_member_id,symmetry_operation,x,y,z,normal_x,normal_y,normal_z,streamwise_x,streamwise_y,streamwise_z,rotation_angle,accepted,rejection_reason,nearest_face_distance_mm
155,38,3,C4_rot_270deg,28015.568594,1984.550104,1492.647583,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
156,39,0,C4_rot_0deg,16666.763663,-2500.000000,2334.684779,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
157,39,1,C4_rot_90deg,16646.818488,-2480.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
158,39,2,C4_rot_180deg,16626.873312,-2500.000000,2337.644488,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
159,39,3,C4_rot_270deg,16646.818488,-2520.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
160,40,0,C4_rot_0deg,16666.763663,-2200.000000,2334.684779,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
161,40,1,C4_rot_90deg,16646.818488,-2180.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
162,40,2,C4_rot_180deg,16626.873312,-2200.000000,2337.644488,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
163,40,3,C4_rot_270deg,16646.818488,-2220.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
164,41,0,C4_rot_0deg,16666.763663,-1900.000000,2334.684779,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
165,41,1,C4_rot_90deg,16646.818488,-1880.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
166,41,2,C4_rot_180deg,16626.873312,-1900.000000,2337.644488,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
167,41,3,C4_rot_270deg,16646.818488,-1920.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
168,42,0,C4_rot_0deg,16666.763663,-1600.000000,2334.684779,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
169,42,1,C4_rot_90deg,16646.818488,-1580.000000,2336.164634,0.073993,0.000000,0.997259,0.997259,0.000000,-0.073993,4.243349,yes,,0.000000
